date,restaurant_id,restaurant_type,menu_item_name,meal_type,key_ingredients_tags,typical_ingredient_cost,observed_market_price,actual_selling_price,quantity_sold,has_promotion,special_event,weather_condition,sentiment,sales
2024-01-01,46,Casual Dining,Chicken Chop,Lunch,"chicken thigh, black pepper sauce, fries, coleslaw",8.0,28.2,39.31,270,False,False,Cloudy,0.0,10613.7
2024-01-01,17,Food Stall,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,5.39,5.36,278,False,False,Cloudy,0.0,1490.0800000000002
2024-01-01,2,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,1.9,1.81,847,True,False,Sunny,0.0,1533.07
2024-01-01,29,Food Stall,Chicken Rice,Dinner,"chicken, rice, ginger, garlic, chili sauce, cucumber",4.0,9.19,12.15,344,False,False,Cloudy,0.0,4179.6
2024-01-01,30,Cafe,Teh Tarik,Dinner,"black tea, condensed milk, evaporated milk",0.9,3.23,3.54,412,False,False,Cloudy,0.0,1458.48
2024-01-01,3,Cafe,Iced Lemon Tea,Lunch,"black tea, lemon, sugar syrup",1.2,4.89,5.14,714,False,False,Sunny,0.0,3669.9599999999996
2024-01-01,30,Cafe,Iced Lemon Tea,Breakfast,"black tea, lemon, sugar syrup",1.2,4.67,3.45,649,True,False,Sunny,0.0,2239.05
2024-01-01,40,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,5.44,8.18,625,False,False,Sunny,0.0,5112.5
2024-01-01,28,Fine Dining,Nasi Lemak,Breakfast,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,11.92,16.75,315,False,False,Sunny,0.0,5276.25
2024-01-01,49,Kopitiam,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,7.38,8.2,651,False,False,Rainy,0.0,5338.2
2024-01-01,27,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,15.68,14.6,410,True,False,Cloudy,0.0,5986.0
2024-01-01,5,Cafe,Mushroom Soup,Dinner,"mushrooms, cream, onion, garlic, vegetable broth",3.5,12.68,19.43,73,False,True,Cloudy,0.0,1418.3899999999999
2024-01-01,42,Fine Dining,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9.0,40.64,56.82,143,False,False,Sunny,0.0,8125.26
2024-01-02,22,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,17.48,31.53,0,False,False,Sunny,0.0,0.0
2024-01-02,39,Casual Dining,Chicken Chop,Lunch,"chicken thigh, black pepper sauce, fries, coleslaw",8.0,22.02,47.06,143,False,False,Cloudy,0.0,6729.58
2024-01-02,19,Casual Dining,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,7.63,11.9,294,False,False,Sunny,0.0,3498.6
2024-01-02,44,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,5.7,9.24,356,False,False,Rainy,0.0,3289.44
2024-01-02,20,Casual Dining,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,5.45,11.22,172,False,False,Rainy,0.0,1929.8400000000001
2024-01-02,40,Food Stall,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,22.08,33.39,1,False,False,Sunny,0.0,33.39
2024-01-02,3,Cafe,Chicken Chop,Dinner,"chicken thigh, black pepper sauce, fries, coleslaw",8.0,28.43,23.57,236,True,False,Cloudy,0.0,5562.52
2024-01-02,19,Casual Dining,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,9.51,12.94,389,False,False,Cloudy,0.0,5033.66
2024-01-02,47,Food Stall,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,4.81,7.02,190,False,False,Sunny,0.0,1333.8
2024-01-02,15,Food Stall,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,3.61,7.35,186,False,False,Rainy,0.0,1367.1
2024-01-02,6,Fine Dining,Mushroom Soup,Dinner,"mushrooms, cream, onion, garlic, vegetable broth",3.5,15.08,29.28,30,False,False,Sunny,0.0,878.4000000000001
2024-01-02,18,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,2.09,2.06,711,True,False,Sunny,0.0,1464.66
2024-01-02,42,Fine Dining,Nasi Lemak,Lunch,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,13.47,10.89,238,True,False,Sunny,0.0,2591.82
2024-01-02,3,Cafe,Mushroom Soup,Lunch,"mushrooms, cream, onion, garlic, vegetable broth",3.5,12.49,20.13,20,False,False,Sunny,0.0,402.59999999999997
2024-01-02,13,Food Stall,Nasi Lemak,Lunch,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,5.55,7.91,350,False,False,Sunny,0.0,2768.5
2024-01-02,18,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,1.88,2.2,301,False,False,Sunny,0.0,662.2
2024-01-02,42,Fine Dining,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,51.38,66.88,126,False,False,Cloudy,0.0,8426.88
2024-01-02,3,Cafe,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9.0,33.81,41.11,12,False,False,Sunny,0.0,493.32
2024-01-02,33,Cafe,Teh Tarik,Lunch,"black tea, condensed milk, evaporated milk",0.9,2.81,3.16,385,False,False,Cloudy,0.0,1216.6000000000001
2024-01-02,44,Food Stall,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,5.23,5.63,353,False,False,Cloudy,0.0,1987.3899999999999
2024-01-02,22,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,17.36,13.38,318,True,False,Sunny,0.0,4254.84
2024-01-02,8,Casual Dining,Mushroom Soup,Lunch,"mushrooms, cream, onion, garlic, vegetable broth",3.5,10.52,20.21,88,False,False,Rainy,0.0,1778.48
2024-01-02,33,Cafe,Mushroom Soup,Lunch,"mushrooms, cream, onion, garlic, vegetable broth",3.5,13.43,17.73,59,False,False,Cloudy,0.0,1046.07
2024-01-02,41,Cafe,Iced Lemon Tea,Dinner,"black tea, lemon, sugar syrup",1.2,4.33,4.87,357,False,False,Sunny,0.0,1738.5900000000001
2024-01-02,14,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,6.57,9.57,416,False,False,Cloudy,0.0,3981.12
2024-01-02,6,Fine Dining,Chicken Chop,Lunch,"chicken thigh, black pepper sauce, fries, coleslaw",8.0,36.95,71.87,94,False,False,Sunny,0.0,6755.780000000001
2024-01-02,10,Fine Dining,Beef Rendang,Lunch,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,36.42,60.28,241,False,False,Rainy,0.0,14527.48
2024-01-02,31,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,10.84,20.42,73,False,False,Sunny,0.0,1490.66
2024-01-02,11,Food Stall,Teh Tarik,Lunch,"black tea, condensed milk, evaporated milk",0.9,2.18,2.46,385,False,False,Cloudy,0.0,947.1
2024-01-02,49,Kopitiam,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,5.7,6.77,220,False,False,Cloudy,0.0,1489.3999999999999
2024-01-02,13,Food Stall,Nasi Lemak,Breakfast,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,6.1,8.55,259,False,False,Cloudy,0.0,2214.4500000000003
2024-01-02,50,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,15.26,26.91,0,False,False,Cloudy,0.0,0.0
2024-01-02,5,Cafe,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,7.08,10.74,120,False,False,Sunny,0.0,1288.8
2024-01-02,2,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,2.13,1.6,524,True,True,Cloudy,0.0,838.4000000000001
2024-01-03,6,Fine Dining,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9.0,45.72,61.65,92,False,False,Sunny,0.0,5671.8
2024-01-03,38,Fine Dining,Beef Rendang,Lunch,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,49.12,53.04,148,True,False,Sunny,0.0,7849.92
2024-01-03,46,Casual Dining,Spaghetti Carbonara,Lunch,"spaghetti, eggs, cheese, beef bacon, black pepper",9.0,24.51,53.13,148,False,False,Sunny,0.0,7863.240000000001
2024-01-03,50,Food Stall,Roti Canai,Breakfast,"flour, ghee, egg, water, curry",0.8,1.74,2.92,239,False,False,Sunny,0.0,697.88
2024-01-03,40,Food Stall,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,3.75,8.38,64,False,False,Sunny,0.0,536.32
2024-01-03,11,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,9.08,13.76,263,False,False,Cloudy,0.0,3618.88
2024-01-03,22,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,1.62,1.73,673,True,True,Cloudy,0.0,1164.29
2024-01-03,28,Fine Dining,Nasi Lemak,Breakfast,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,12.98,12.19,503,True,False,Sunny,0.0,6131.57
2024-01-03,16,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,14.28,27.15,99,False,False,Cloudy,0.0,2687.85
2024-01-03,18,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,14.38,24.66,181,False,False,Sunny,0.0,4463.46
2024-01-03,20,Casual Dining,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,5.1,11.45,119,False,False,Cloudy,0.0,1362.55
2024-01-03,6,Fine Dining,Mushroom Soup,Lunch,"mushrooms, cream, onion, garlic, vegetable broth",3.5,15.14,22.46,210,False,False,Sunny,0.0,4716.6
2024-01-03,19,Casual Dining,Teh Tarik,Lunch,"black tea, condensed milk, evaporated milk",0.9,2.99,3.79,496,False,False,Rainy,0.0,1879.84
2024-01-03,23,Fine Dining,Beef Rendang,Lunch,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,44.46,74.97,23,False,False,Rainy,0.0,1724.31
2024-01-03,25,Fine Dining,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,41.75,62.39,103,True,False,Rainy,0.0,6426.17
2024-01-03,44,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,12.65,14.06,192,False,False,Sunny,0.0,2699.52
2024-01-03,23,Fine Dining,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,42.29,73.42,113,False,False,Sunny,0.0,8296.460000000001
2024-01-03,46,Casual Dining,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,6.72,9.66,274,False,False,Rainy,0.0,2646.84
2024-01-03,8,Casual Dining,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,8.49,15.34,232,False,False,Rainy,0.0,3558.88
2024-01-04,32,Fine Dining,Mushroom Soup,Dinner,"mushrooms, cream, onion, garlic, vegetable broth",3.5,13.64,28.55,0,False,False,Cloudy,0.0,0.0
2024-01-04,23,Fine Dining,Beef Rendang,Lunch,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,44.7,68.43,194,False,False,Cloudy,0.0,13275.420000000002
2024-01-04,5,Cafe,Iced Lemon Tea,Lunch,"black tea, lemon, sugar syrup",1.2,3.73,5.86,226,False,False,Sunny,0.0,1324.3600000000001
2024-01-04,2,Food Stall,Roti Canai,Breakfast,"flour, ghee, egg, water, curry",0.8,1.95,2.21,435,False,False,Cloudy,0.0,961.35
2024-01-04,50,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,13.95,24.04,53,False,False,Sunny,0.0,1274.12
2024-01-04,30,Cafe,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,6.35,7.92,359,False,True,Sunny,0.0,2843.28
2024-01-04,39,Casual Dining,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,8.14,11.21,619,True,False,Sunny,0.0,6938.990000000001
2024-01-04,19,Casual Dining,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,6.74,11.23,218,False,False,Cloudy,0.0,2448.14
2024-01-04,30,Cafe,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,5.79,6.65,425,True,False,Sunny,0.0,2826.25
2024-01-04,13,Food Stall,Nasi Lemak,Lunch,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,4.47,7.31,346,False,False,Sunny,0.0,2529.2599999999998
2024-01-04,39,Casual Dining,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,31.28,46.56,0,False,False,Cloudy,0.0,0.0
2024-01-04,20,Casual Dining,Teh Tarik,Dinner,"black tea, condensed milk, evaporated milk",0.9,2.64,4.22,577,False,False,Sunny,0.0,2434.94
2024-01-04,26,Food Stall,Nasi Lemak,Lunch,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,5.47,7.74,259,False,False,Sunny,0.0,2004.66
2024-01-04,23,Fine Dining,Mushroom Soup,Dinner,"mushrooms, cream, onion, garlic, vegetable broth",3.5,18.5,26.95,73,False,False,Cloudy,0.0,1967.35
2024-01-04,33,Cafe,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,6.7,9.42,231,False,False,Rainy,0.0,2176.02
2024-01-04,50,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,14.13,23.99,129,False,False,Sunny,0.0,3094.7099999999996
2024-01-04,13,Food Stall,Teh Tarik,Lunch,"black tea, condensed milk, evaporated milk",0.9,1.8,2.43,506,False,False,Sunny,0.0,1229.5800000000002
2024-01-04,2,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,15.98,24.27,172,False,False,Sunny,0.0,4174.44
2024-01-04,10,Fine Dining,Chicken Chop,Dinner,"chicken thigh, black pepper sauce, fries, coleslaw",8.0,40.62,49.74,191,False,False,Cloudy,0.0,9500.34
2024-01-04,47,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,8.86,15.33,178,False,False,Sunny,0.0,2728.7400000000002
2024-01-04,44,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,9.21,14.53,270,False,False,Sunny,0.0,3923.1
2024-01-04,34,Casual Dining,Char Kway Teow,Lunch,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5.0,14.73,28.49,207,False,False,Sunny,0.0,5897.429999999999
2024-01-04,10,Fine Dining,Iced Lemon Tea,Breakfast,"black tea, lemon, sugar syrup",1.2,6.84,8.44,141,False,False,Cloudy,0.0,1190.04
2024-01-04,23,Fine Dining,Nasi Lemak,Lunch,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,11.46,9.51,477,True,False,Sunny,0.0,4536.2699999999995
2024-01-04,44,Food Stall,Teh Tarik,Breakfast,"black tea, condensed milk, evaporated milk",0.9,1.87,2.81,497,False,False,Sunny,0.0,1396.57
2024-01-04,48,Casual Dining,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,9.42,14.13,338,False,False,Sunny,0.0,4775.9400000000005
2024-01-04,13,Food Stall,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,4.89,7.04,279,False,False,Sunny,0.0,1964.16
2024-01-04,11,Food Stall,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,5.1,6.9,192,False,False,Sunny,0.0,1324.8000000000002
2024-01-05,23,Fine Dining,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9.0,51.96,76.18,128,False,False,Cloudy,0.0,9751.04
2024-01-05,12,Cafe,Teh Tarik,Lunch,"black tea, condensed milk, evaporated milk",0.9,3.27,3.22,316,False,False,Cloudy,0.0,1017.5200000000001
2024-01-05,28,Fine Dining,Chicken Chop,Dinner,"chicken thigh, black pepper sauce, fries, coleslaw",8.0,45.43,68.49,40,False,False,Sunny,0.0,2739.6
2024-01-05,4,Cafe,Teh Tarik,Lunch,"black tea, condensed milk, evaporated milk",0.9,2.88,3.62,439,False,False,Sunny,0.0,1589.18
2024-01-05,36,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,13.35,24.16,59,False,False,Cloudy,0.0,1425.44
2024-01-05,4,Cafe,Teh Tarik,Dinner,"black tea, condensed milk, evaporated milk",0.9,3.42,3.89,226,False,False,Cloudy,0.0,879.14
2024-01-05,18,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,2.13,2.34,373,False,False,Sunny,0.0,872.8199999999999
2024-01-05,5,Cafe,Iced Lemon Tea,Breakfast,"black tea, lemon, sugar syrup",1.2,3.59,4.29,340,False,False,Cloudy,0.0,1458.6
2024-01-05,9,Casual Dining,Teh Tarik,Dinner,"black tea, condensed milk, evaporated milk",0.9,2.41,4.5,535,False,False,Sunny,0.0,2407.5
2024-01-05,25,Fine Dining,Beef Rendang,Lunch,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,55.63,68.8,153,False,False,Sunny,0.0,10526.4
2024-01-05,43,Casual Dining,Mushroom Soup,Lunch,"mushrooms, cream, onion, garlic, vegetable broth",3.5,11.24,22.87,86,False,False,Sunny,0.0,1966.8200000000002
2024-01-05,1,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,6.02,6.6,726,True,False,Cloudy,0.0,4791.599999999999
2024-01-05,21,Casual Dining,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9.0,23.92,37.16,290,False,False,Sunny,0.0,10776.4
2024-01-05,8,Casual Dining,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,6.78,7.14,288,True,False,Rainy,0.0,2056.3199999999997
2024-01-05,50,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,13.97,29.45,0,False,False,Sunny,0.0,0.0
2024-01-05,37,Food Stall,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,3.83,7.59,35,False,False,Rainy,0.0,265.65
2024-01-05,12,Cafe,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,8.51,12.26,229,False,False,Rainy,0.0,2807.54
2024-01-05,37,Food Stall,Char Kway Teow,Dinner,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5.0,11.92,22.36,42,False,False,Sunny,0.0,939.12
2024-01-05,11,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,10.53,16.21,53,False,False,Sunny,0.0,859.13
2024-01-05,3,Cafe,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,11.24,9.99,430,False,False,Sunny,0.0,4295.7
2024-01-05,37,Food Stall,Teh Tarik,Breakfast,"black tea, condensed milk, evaporated milk",0.9,1.78,3.16,309,False,False,Rainy,0.0,976.44
2024-01-05,34,Casual Dining,Teh Tarik,Lunch,"black tea, condensed milk, evaporated milk",0.9,2.56,4.13,615,False,False,Sunny,0.0,2539.95
2024-01-05,8,Casual Dining,Spaghetti Carbonara,Dinner,"spaghetti, eggs, cheese, beef bacon, black pepper",9.0,28.25,60.09,98,False,False,Sunny,0.0,5888.820000000001
2024-01-05,13,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,7.08,9.9,280,False,False,Cloudy,0.0,2772.0
2024-01-05,2,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,1.84,2.7,348,False,False,Sunny,0.0,939.6
2024-01-05,38,Fine Dining,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,44.16,63.52,0,False,False,Sunny,0.0,0.0
2024-01-05,28,Fine Dining,Mushroom Soup,Lunch,"mushrooms, cream, onion, garlic, vegetable broth",3.5,18.72,30.56,6,False,False,Sunny,0.0,183.35999999999999
2024-01-05,12,Cafe,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,8.65,11.69,268,False,False,Sunny,0.0,3132.92
2024-01-06,37,Food Stall,Teh Tarik,Breakfast,"black tea, condensed milk, evaporated milk",0.9,1.95,2.57,896,False,False,Sunny,0.0,2302.72
2024-01-06,20,Casual Dining,Spaghetti Carbonara,Lunch,"spaghetti, eggs, cheese, beef bacon, black pepper",9.0,30.01,62.08,106,False,False,Cloudy,0.0,6580.48
2024-01-06,45,Food Stall,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,3.95,3.6,599,True,False,Rainy,0.0,2156.4
2024-01-06,16,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,13.9,16.05,357,True,False,Sunny,0.0,5729.85
2024-01-06,34,Casual Dining,Cendol,Dinner,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,6.18,10.0,144,False,False,Cloudy,0.0,1440.0
2024-01-06,16,Food Stall,Roti Canai,Dinner,"flour, ghee, egg, water, curry",0.8,1.63,2.11,407,False,False,Sunny,0.0,858.77
2024-01-06,10,Fine Dining,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,42.09,66.97,67,False,False,Sunny,0.0,4486.99
2024-01-06,40,Food Stall,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,4.62,6.81,395,False,True,Cloudy,0.0,2689.95
2024-01-06,36,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,16.28,27.49,133,False,False,Sunny,0.0,3656.1699999999996
2024-01-06,10,Fine Dining,Nasi Lemak,Breakfast,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,14.93,14.41,407,False,False,Rainy,0.0,5864.87
2024-01-06,19,Casual Dining,Teh Tarik,Breakfast,"black tea, condensed milk, evaporated milk",0.9,2.95,4.54,836,False,False,Sunny,0.0,3795.44
2024-01-06,12,Cafe,Beef Rendang,Dinner,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,34.33,36.17,176,False,False,Cloudy,0.0,6365.92
2024-01-06,35,Food Stall,Chicken Rice,Lunch,"chicken, rice, ginger, garlic, chili sauce, cucumber",4.0,7.48,12.4,230,False,False,Sunny,0.0,2852.0
2024-01-06,49,Kopitiam,Char Kway Teow,Lunch,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5.0,14.29,21.43,202,False,False,Cloudy,0.0,4328.86
2024-01-06,45,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,5.3,8.18,531,False,False,Sunny,0.0,4343.58
2024-01-06,34,Casual Dining,Char Kway Teow,Lunch,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5.0,14.59,25.34,199,False,False,Sunny,0.0,5042.66
2024-01-06,9,Casual Dining,Chicken Chop,Lunch,"chicken thigh, black pepper sauce, fries, coleslaw",8.0,23.13,46.47,176,False,False,Sunny,0.0,8178.719999999999
2024-01-06,32,Fine Dining,Iced Lemon Tea,Dinner,"black tea, lemon, sugar syrup",1.2,4.68,5.14,751,True,False,Rainy,0.0,3860.14
2024-01-06,37,Food Stall,Cendol,Lunch,"rice flour jelly, coconut milk, palm sugar, red beans",2.0,4.82,6.32,337,False,False,Rainy,0.0,2129.84
2024-01-06,29,Food Stall,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,5.03,4.94,799,True,False,Sunny,0.0,3947.0600000000004
2024-01-06,13,Food Stall,Teh Tarik,Dinner,"black tea, condensed milk, evaporated milk",0.9,1.94,2.87,551,False,False,Sunny,0.0,1581.3700000000001
2024-01-06,4,Cafe,Kaya Toast Set,Breakfast,"white bread, kaya, butter, soft-boiled eggs",2.8,11.07,9.61,526,False,False,Sunny,0.0,5054.86
2024-01-06,50,Food Stall,Roti Canai,Breakfast,"flour, ghee, egg, water, curry",0.8,1.59,2.35,610,False,False,Sunny,0.0,1433.5
2024-01-06,47,Food Stall,Laksa,Lunch,"rice noodles, fish broth, tamarind, shrimp paste, cucumber, mint",4.5,12.71,15.8,68,False,False,Rainy,0.0,1074.4
2024-01-07,18,Food Stall,Tandoori Chicken,Dinner,"chicken, yogurt, tandoori masala, ginger, garlic",7.0,17.59,17.54,300,True,False,Sunny,0.0,5262.0
2024-01-07,25,Fine Dining,Beef Rendang,Lunch,"beef, coconut milk, galangal, lemongrass, spices, chili",9.0,49.08,63.62,0,False,False,Sunny,0.0,0.0
2024-01-07,28,Fine Dining,Nasi Lemak,Lunch,"rice, coconut milk, sambal, anchovies, egg, peanuts",2.5,10.22,16.76,421,False,False,Cloudy,0.0,7055.960000000001
2024-01-07,48,Casual Dining,Char Kway Teow,Dinner,"flat rice noodles, prawns, cockles, bean sprouts, chives, soy sauce",5.0,16.03,31.2,100,False,False,Cloudy,0.0,3120.0
